seriesName,mid,matchTitle,matchFormat,matchStatus,teamOne,teamTwo,matchDate,matchVenue,name_bat,dismissal,runs_bat,balls,fours,sixes,strikeRate,batlineup,inn,cname_bat,lname,name_bowl,overs,maidens,runs_bowl,wickets,noBalls,wides,eco,bwlineup,cname_bowl,lineup,id,name,team
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Abhishek Sharma,c Yashasvi Jaiswal b M Theekshana,24,11,5,0,218.18,1,inn1,Abhishek Sharma,absharma,Abhishek Sharma,2.0,0.0,17.0,0.0,0.0,0.0,8.5,8.0,Abhishek Sharma,1.0,12086.0,Abhishek Sharma,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Head,c Hetmyer b Tushar Deshpande,67,31,9,3,216.13,2,inn1,Head,Head,,,,,,,,,,,2.0,8497.0,Travis Head,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Ishan Kishan,not out,106,47,11,6,225.53,3,inn1,Ishan Kishan,Kishan,,,,,,,,,,,3.0,10276.0,Ishan Kishan,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Nitish Reddy,c Yashasvi Jaiswal b M Theekshana,30,15,4,1,200.0,4,inn1,Nitish Reddy,Reddy,,,,,,,,,,,4.0,14701.0,Nitish Kumar Reddy,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Klaasen (wk),c Riyan Parag b Sandeep Sharma,34,14,5,1,242.86,5,inn1,Klaasen,Klaasen,,,,,,,,,,,5.0,10209.0,Heinrich Klaasen (wk),Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Aniket Verma,c Jofra Archer b Tushar Deshpande,7,3,0,1,233.33,6,inn1,Aniket Verma,Verma,,,,,,,,,,,6.0,1447065.0,Aniket Verma,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Harshal Patel,Did not bat,0,0,0,0,0.0,12,inn1,Harshal Patel,hpatel,Harshal Patel,4.0,0.0,34.0,2.0,0.0,2.0,8.5,6.0,Harshal Patel,6.0,8175.0,Harshal Patel,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Abhinav Manohar,c Riyan Parag b Tushar Deshpande,0,1,0,0,0.0,7,inn1,Abhinav Manohar,Manohar,,,,,,,,,,,7.0,10499.0,Abhinav Manohar,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Cummins (c),not out,0,1,0,0,0.0,8,inn1,Cummins,Cummins,Pat Cummins (c),4.0,0.0,60.0,0.0,1.0,1.0,15.0,9.0,Pat Cummins,8.0,8095.0,Pat Cummins (c),Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Simarjeet Singh,Did not bat,0,0,0,0,0.0,12,inn1,Simarjeet Singh,sjsingh,Simarjeet Singh,3.0,0.0,46.0,2.0,1.0,2.0,15.3,10.0,Simarjeet Singh,10.0,14163.0,Simarjeet Singh,Sunrisers Hyderabad 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Shami,Did not bat,0,0,0,0,0.0,12,inn1,Shami,Shami,Mohammed Shami,3.0,0.0,33.0,1.0,0.0,1.0,11.0,11.0,Mohammed Shami,11.0,7909.0,Mohammed Shami,Sunrisers Hyderabad 
